"player_name","total_pitches","total_swings","out_of_zone_pitches","o_zone_swings","Swing%","O-Swing%"
"pete crow-armstrong","1421","852","706","282","60.0","39.9"
"yan gomes","375","212","184","73","56.5","39.7"
"miguel amaya","1291","691","643","210","53.5","32.7"
"patrick wisdom","701","342","342","86","48.8","25.1"
"dansby swanson","2355","1138","1114","257","48.3","23.1"
"nico hoerner","2314","1113","1118","350","48.1","31.3"
"christopher morel","2352","1093","1203","303","46.5","25.2"
"mike tauchman","1537","704","774","173","45.8","22.4"
"ian happ","2721","1235","1337","297","45.4","22.2"
"michael busch","2365","1048","1222","264","44.3","21.6"
"seiya suzuki","2509","982","1289","255","39.1","19.8"
