player_name,total_pitches,total_swings,out_of_zone_pitches,o_zone_swings,Swing%,O-Swing%,1st_Pitch_Swing%,Name,AVG,OBP,SLG,wOBA
pete crow-armstrong,1421,852,706,282,60.0,39.9,50.1,Pete Crow-Armstrong,,,,
yan gomes,375,212,184,73,56.5,39.7,32.3,Yan Gomes,,,,
miguel amaya,1291,691,643,210,53.5,32.7,38.6,Miguel Amaya,,,,
patrick wisdom,701,342,342,86,48.8,25.1,35.6,Patrick Wisdom,,,,
dansby swanson,2355,1138,1114,257,48.3,23.1,36.0,Dansby Swanson,0.242,0.312,0.39,0.307
nico hoerner,2314,1113,1118,350,48.1,31.3,26.8,Nico Hoerner,0.273,0.335,0.373,0.313
christopher morel,2352,1093,1203,303,46.5,25.2,41.1,Christopher Morel,0.196,0.288,0.346,0.28
mike tauchman,1537,704,774,173,45.8,22.4,31.5,Mike Tauchman,,,,
ian happ,2721,1235,1337,297,45.4,22.2,33.8,Ian Happ,0.243,0.341,0.441,0.341
michael busch,2365,1048,1222,264,44.3,21.6,31.9,Michael Busch,0.248,0.335,0.44,0.336
seiya suzuki,2509,982,1289,255,39.1,19.8,13.4,Seiya Suzuki,0.283,0.366,0.482,0.365
